Number of Cases by Gender,Daily,Community,Federal Prisonin Lompoc, Total  (Community & Prison),Date
Female,26,15633,2,15635,"February 25, 2021"
Male,26,14729,1071,15800,"February 25, 2021"
Unknown,0,315,13,328,"February 25, 2021"
Pending,0,,,,"February 25, 2021"
Female,46,15607,2,15609,"February 24, 2021"
Male,39,14703,1071,15774,"February 24, 2021"
Unknown,0,315,13,328,"February 24, 2021"
Pending,0,,,,"February 24, 2021"
Female,23,15562,2,15564,"February 23, 2021"
Male,41,14667,1071,15738,"February 23, 2021"
Unknown,0,315,13,328,"February 23, 2021"
Pending,0,,,,"February 23, 2021"
Female,25,15539,2,15541,"February 22, 2021"
Male,4324,14627,1071,15698,"February 22, 2021"
Unknown,0,315,13,328,"February 22, 2021"
Pending,0,,,,"February 22, 2021"
Female,44,15554,2,15516,"February 21, 2021"
Male,43,14603,1071,15674,"February 21, 2021"
Unknown,0,315,13,328,"February 21, 2021"
Pending,0,,,,"February 21, 2021"
Female,48,15471,2,15473,"February 20, 2021"
Male,50,14560,1071,15631,"February 20, 2021"
Unknown,1,315,13,328,"February 20, 2021"
Pending,0,,,,"February 20, 2021"
Female,85,15424,2,15426,"February 19, 2021"
Male,68,14510,1071,15581,"February 19, 2021"
Unknown,1,314,13,327,"February 19, 2021"
Pending,0,,,,"February 19, 2021"
Female,61,15341,2,15343,"February 18, 2021"
Male,63,14445,1071,15516,"February 18, 2021"
Unknown,1,313,13,326,"February 18, 2021"
Pending,0,,,,"February 18, 2021"
Female,38,15281,2,15283,"February 17, 2021"
Male,39,14388,1071,15459,"February 17, 2021"
Unknown,1,312,13,325,"February 17, 2021"
Pending,0,,,,"February 17, 2021"
Female,24,15244,2,15246,"February 16, 2021"
Male,36,14350,1071,15421,"February 16, 2021"
Unknown,0,311,13,324,"February 16, 2021"
Pending,0,,,,"February 16, 2021"
Female,36,15220,2,15222,"February 15, 2021"
Male,34,14314,1071,15385,"February 15, 2021"
Unknown,0,311,13,324,"February 15, 2021"
Pending,0,,,,"February 15, 2021"
Female,76,15185,2,15187,"February 14, 2021"
Male,59,14280,1071,15351,"February 14, 2021"
Unknown,0,311,13,324,"February 14, 2021"
Pending,0,,,,"February 14, 2021"
Female,71,15110,2,15112,"February 13, 2021"
Male,76,14221,1071,15292,"February 13, 2021"
Unknown,0,311,13,324,"February 13, 2021"
Pending,0,,,,"February 13, 2021"
Female,47,15045,2,15047,"February 12, 2021"
Male,39,14150,1064,15214,"February 12, 2021"
Unknown,1,312,13,325,"February 12, 2021"
Pending,0,,,,"February 12, 2021"
Female,70,15000,2,15002,"February 11, 2021"
Male,83,14112,1064,15176,"February 11, 2021"
Unknown,0,311,13,324,"February 11, 2021"
Pending,0,,,,"February 11, 2021"
Female,70,14930,2,14932,"February 10, 2021"
Male,75,14032,1064,15096,"February 10, 2021"
Unknown,2,311,13,324,"February 10, 2021"
Pending,0,,,,"February 10, 2021"
Female,60,14860,2,14862,"February 9, 2021"
Male,63,13958,1064,15022,"February 9, 2021"
Unknown,1,309,13,322,"February 9, 2021"
Pending,0,,,,"February 9, 2021"
Female,64,14801,2,14803,"February 8, 2021"
Male,82,13899,1064,14963,"February 8, 2021"
Unknown,0,308,13,321,"February 8, 2021"
Pending,0,,,,"February 8, 2021"
Female,88,14737,2,14739,"February 7, 2021"
Male,96,13817,1064,14881,"February 7, 2021"
Unknown,3,308,13,321,"February 7, 2021"
Pending,0,,,,"February 7, 2021"
Female,99,14650,2,14652,"February 6, 2021"
Male,91,13721,1064,14785,"February 6, 2021"
Unknown,3,305,13,318,"February 6, 2021"
Pending,0,,,,"February 6, 2021"
Female,73,14552,2,14554,"February 5, 2021"
Male,59,13631,1064,14695,"February 5, 2021"
Unknown,4,302,13,315,"February 5, 2021"
Pending,0,,,,"February 5, 2021"
Female,139,14480,2,14482,"February 4, 2021"
Male,101,13573,1064,14637,"February 4, 2021"
Unknown,1,299,13,312,"February 4, 2021"
Pending,0,,,,"February 4, 2021"
Female,89,14342,2,14344,"February 3, 2021"
Male,96,13472,1064,14536,"February 3, 2021"
Unknown,2,298,13,311,"February 3, 2021"
Pending,0,,,,"February 3, 2021"
Female,95,14256,2,14258,"February 2, 2021"
Male,86,13378,1064,14442,"February 2, 2021"
Unknown,0,296,13,309,"February 2, 2021"
Pending,0,,,,"February 2, 2021"
Female,132,14163,2,14165,"February 1, 2021"
Male,128,13292,1064,14356,"February 1, 2021"
Unknown,5,296,13,309,"February 1, 2021"
Pending,0,,,,"February 1, 2021"
Female,115,14032,2,14034,"January 31, 2021"
Male,112,13165,1064,14229,"January 31, 2021"
Unknown,5,291,13,304,"January 31, 2021"
Pending,0,,,,"January 31, 2021"
Female,90,13918,2,13920,"January 30, 2021"
Male,101,13055,1064,14119,"January 30, 2021"
Unknown,1,286,13,299,"January 30, 2021"
Pending,1,,,,"January 30, 2021"
Female,205,13831,2,13833,"January 29, 2021"
Male,197,12955,1064,14019,"January 29, 2021"
Unknown,3,285,13,298,"January 29, 2021"
Pending,1,,,,"January 29, 2021"
Female,106,13632,2,13634,"January 28, 2021"
Male,117,12762,1063,13825,"January 28, 2021"
Unknown,3,282,13,295,"January 28, 2021"
Pending,0,0,0,0,"January 28, 2021"
Female,72,13529,2,13531,"January 27, 2021"
Male,62,12646,1063,13709,"January 27, 2021"
Unknown,0,279,13,292,"January 27, 2021"
Pending,0,0,0,0,"January 27, 2021"
Female,128,13458,2,13460,"January 26, 2021"
Male,128,12587,1063,13650,"January 26, 2021"
Unknown,0,279,13,292,"January 26, 2021"
Pending,0,0,0,0,"January 26, 2021"
Female,155,13333,2,13335,"January 25, 2021"
Male,170,12459,1063,13522,"January 25, 2021"
Unknown,6,279,13,292,"January 25, 2021"
Pending,0,0,0,0,"January 25, 2021"
Female,158,13179,2,13181,"January 24, 2021"
Male,140,12290,1063,13353,"January 24, 2021"
Unknown,9,273,13,286,"January 24, 2021"
Pending,0,0,0,0,"January 24, 2021"
Female,274,13021,2,13023,"January 23, 2021"
Male,250,12150,1063,13213,"January 23, 2021"
Unknown,7,265,13,278,"January 23, 2021"
Pending,0,,0,,"January 23, 2021"
Female,115,12749,2,12751,"January 22, 2021"
Male,123,11901,1063,12964,"January 22, 2021"
Unknown,0,258,13,271,"January 22, 2021"
Pending,0,,0,,"January 22, 2021"
Female,188,12635,2,12637,"January 21, 2021"
Male,165,11780,1063,12843,"January 21, 2021"
Unknown,0,258,13,271,"January 21, 2021"
Pending,0,,0,,"January 21, 2021"
Female,171,12450,2,12452,"January 20, 2021"
Male,154,11619,1063,12682,"January 20, 2021"
Unknown,0,258,13,271,"January 20, 2021"
Pending,0,,0,,"January 20, 2021"
Female,173,12281,2,12283,"January 19, 2021"
Male,167,11466,1063,12529,"January 19, 2021"
Unknown,2,258,13,271,"January 19, 2021"
Pending,0,,0,,"January 19, 2021"
Female,132,12109,2,12111,"January 18, 2021"
Male,131,11300,1063,12363,"January 18, 2021"
Unknown,1,256,13,269,"January 18, 2021"
Pending,2,,0,,"January 18, 2021"
Female,172,11981,2,11983,"January 17, 2021"
Male,162,11169,1061,12230,"January 17, 2021"
Unknown,2,255,13,268,"January 17, 2021"
Pending,0,,0,,"January 17, 2021"
Female,322,11812,2,11814,"January 16, 2021"
Male,287,11008,1061,12069,"January 16, 2021"
