Number of Cases by Age,Daily ,Community,Federal Prisonin Lompoc,Total(Community & Prison),Date
0 – 17,30,1494,0,1494,"December 31, 2020"
18 – 29,98,5022,139,5161,"December 31, 2020"
30 – 49,109,5407,552,5959,"December 31, 2020"
50 – 69,86,3299,315,3614,"December 31, 2020"
70+,73,1129,33,1162,"December 31, 2020"
Age Suppressed,0,,0,,"December 31, 2020"
Pending,0,1,0,1,"December 31, 2020"
0 – 17,29,1464,0,1464,"December 30, 2020"
18 – 29,65,4929,139,5068,"December 30, 2020"
30 – 49,105,5301,552,5853,"December 30, 2020"
50 – 69,60,3217,315,3532,"December 30, 2020"
70+,21,1057,33,1090,"December 30, 2020"
Age Suppressed,0,,0,,"December 30, 2020"
Pending,0,1,0,1,"December 30, 2020"
0 – 17,25,1435,0,1435,"December 29, 2020"
18 – 29,62,4864,139,5003,"December 29, 2020"
30 – 49,90,5197,552,5749,"December 29, 2020"
50 – 69,55,3158,315,3473,"December 29, 2020"
70+,23,1038,33,1071,"December 29, 2020"
Age Suppressed,1,,0,,"December 29, 2020"
Pending,0,1,0,1,"December 29, 2020"
0 – 17,13,1410,0,1410,"December 28, 2020"
18 – 29,56,4802,138,4940,"December 28, 2020"
30 – 49,70,5107,552,5659,"December 28, 2020"
50 – 69,55,3103,315,3418,"December 28, 2020"
70+,20,1015,33,1048,"December 28, 2020"
Age Suppressed,0,,0,,"December 28, 2020"
Pending,0,1,0,1,"December 28, 2020"
0 – 17,12,1397,0,1385,"December 27, 2020"
18 – 29,43,4746,138,4884,"December 27, 2020"
30 – 49,62,5039,552,5591,"December 27, 2020"
50 – 69,41,3048,315,3363,"December 27, 2020"
70+,24,996,33,1029,"December 27, 2020"
Age Suppressed,0,,0,,"December 27, 2020"
Pending,0,1,0,1,"December 27, 2020"
0 – 17,22,1385,0,1385,"December 26, 2020"
18 – 29,36,4703,138,4841,"December 26, 2020"
30 – 49,44,4977,552,5529,"December 26, 2020"
50 – 69,26,3007,315,3322,"December 26, 2020"
70+,25,972,33,1005,"December 26, 2020"
Age Suppressed,0,,,,"December 26, 2020"
Pending,0,1,0,1,"December 26, 2020"
0 – 17,27,1363,0,1363,"December 25, 2020"
18 – 29,56,4667,138,4805,"December 25, 2020"
30 – 49,96,4933,552,5485,"December 25, 2020"
50 – 69,62,2981,315,3296,"December 25, 2020"
70+,34,948,33,981,"December 25, 2020"
Age Suppressed,0,,,,"December 25, 2020"
Pending,0,1,0,1,"December 25, 2020"
0 – 17,19,1336,0,1336,"December 24, 2020"
18 – 29,63,4612,138,4750,"December 24, 2020"
30 – 49,83,4837,552,5389,"December 24, 2020"
50 – 69,57,2919,315,3234,"December 24, 2020"
70+,18,914,33,947,"December 24, 2020"
Age Suppressed,0,,,,"December 24, 2020"
Pending,0,1,0,1,"December 24, 2020"
0 – 17,24,1317,0,1317,"December 23, 2020"
18 – 29,57,4549,138,4687,"December 23, 2020"
30 – 49,73,4754,552,5306,"December 23, 2020"
50 – 69,51,2862,315,3177,"December 23, 2020"
70+,16,896,33,929,"December 23, 2020"
Age Suppressed,0,,,,"December 23, 2020"
Pending,0,1,0,1,"December 23, 2020"
0 – 17,19,1293,0,1293,"December 22, 2020"
18 – 29,64,4494,138,4632,"December 22, 2020"
30 – 49,95,4681,552,5233,"December 22, 2020"
50 – 69,62,2811,315,3126,"December 22, 2020"
70+,24,880,33,913,"December 22, 2020"
Age Suppressed,0,,,,"December 22, 2020"
Pending,0,1,0,1,"December 22, 2020"
0 – 17,22,1274,0,1274,"December 21, 2020"
18 – 29,51,4430,138,4568,"December 21, 2020"
30 – 49,59,4587,552,5139,"December 21, 2020"
50 – 69,50,2749,315,3064,"December 21, 2020"
70+,17,856,33,889,"December 21, 2020"
