Number of Cases by Age,Daily ,Community,Federal Prisonin Lompoc,Total(Community & Prison),Date
0 – 17,1,807,0,807,"October 20, 2020"
18 – 29,10,2731,138,2869,"October 20, 2020"
30 – 49,9,2977,544,3521,"October 20, 2020"
50 – 69,9,1609,311,1920,"October 20, 2020"
70+3,1,519,33,552,"October 20, 2020"
Age Suppressed,0,,,,"October 20, 2020"
Pending,0,2,0,2,"October 20, 2020"
0 – 17,1,806,0,806,"October 19, 2020"
18 – 29,19,2721,138,2859,"October 19, 2020"
30 – 49,2,2968,544,3512,"October 19, 2020"
50 – 69,2,1600,311,1911,"October 19, 2020"
70+3,0,518,33,551,"October 19, 2020"
Age Suppressed,0,,,,"October 19, 2020"
Pending,0,2,0,2,"October 19, 2020"
0 – 17,0,801,0,801,"October 16, 2020"
18 – 29,13,2680,138,2818,"October 16, 2020"
30 – 49,6,2952,544,3496,"October 16, 2020"
50 – 69,4,1592,311,1903,"October 16, 2020"
70+3,0,507,33,540,"October 16, 2020"
Age Suppressed,0,,,,"October 16, 2020"
Pending,0,2,0,2,"October 16, 2020"
0 – 17,1,801,0,801,"October 15, 2020"
18 – 29,10,2668,138,2806,"October 15, 2020"
30 – 49,4,2946,544,3490,"October 15, 2020"
50 – 69,3,1590,311,1901,"October 15, 2020"
70+3,1,507,33,540,"October 15, 2020"
Age Suppressed,1,,,,"October 15, 2020"
Pending,0,2,0,2,"October 15, 2020"
0 – 17,0,800,0,800,"October 14, 2020"
18 – 29,13,2658,138,2796,"October 14, 2020"
30 – 49,4,2942,544,3486,"October 14, 2020"
50 – 69,1,1587,311,1898,"October 14, 2020"
70+3,1,506,33,539,"October 14, 2020"
Age Suppressed,0,,,,"October 14, 2020"
Pending,0,1,0,1,"October 14, 2020"
0 – 17,3,800,0,800,"October 13, 2020"
18 – 29,4,2646,138,2784,"October 13, 2020"
30 – 49,7,2939,544,3483,"October 13, 2020"
50 – 69,5,1586,311,1897,"October 13, 2020"
70+3,9,505,33,538,"October 13, 2020"
Age Suppressed,1,,,,"October 13, 2020"
Pending,0,1,0,1,"October 13, 2020"
0 – 17,4,797,0,797,"October 12, 2020"
18 – 29,5,2643,138,2781,"October 12, 2020"
30 – 49,10,2932,544,3476,"October 12, 2020"
50 – 69,3,1581,310,1891,"October 12, 2020"
70+3,2,496,33,529,"October 12, 2020"
Age Suppressed,0,,,,"October 12, 2020"
Pending,0,1,0,1,"October 12, 2020"
0 – 17,0,790,0,790,"October 9, 2020"
18 – 29,11,2621,138,2759,"October 9, 2020"
30 – 49,4,2910,544,3454,"October 9, 2020"
50 – 69,5,1574,310,1884,"October 9, 2020"
70+3,2,487,33,520,"October 9, 2020"
Age Suppressed,0,,,,"October 9, 2020"
Pending,0,1,0,1,"October 9, 2020"
0 – 17,3,790,0,790,"October 8, 2020"
18 – 29,5,2610,138,2748,"October 8, 2020"
30 – 49,8,2906,544,3450,"October 8, 2020"
50 – 69,5,1569,310,1879,"October 8, 2020"
70+3,3,486,33,519,"October 8, 2020"
Age Suppressed,0,,,,"October 8, 2020"
Pending,0,1,0,1,"October 8, 2020"
0 – 17,4,787,0,787,"October 7, 2020"
18 – 29,4,2605,138,2743,"October 7, 2020"
30 – 49,7,2898,544,3442,"October 7, 2020"
50 – 69,5,1564,310,1874,"October 7, 2020"
70+3,3,483,33,516,"October 7, 2020"
Age Suppressed,0,,,,"October 7, 2020"
Pending,0,1,0,1,"October 7, 2020"
0 – 17,2,783,0,783,"October 6, 2020"
18 – 29,7,2601,138,2739,"October 6, 2020"
30 – 49,6,2891,544,3435,"October 6, 2020"
50 – 69,5,1559,310,1869,"October 6, 2020"
70+3,1,480,33,513,"October 6, 2020"
Age Suppressed,1,,,,"October 6, 2020"
Pending,0,1,0,1,"October 6, 2020"
0 – 17,0,781,0,781,"October 5, 2020"
18 – 29,12,2594,138,2732,"October 5, 2020"
30 – 49,7,2885,544,3429,"October 5, 2020"
50 – 69,7,1554,309,1863,"October 5, 2020"
70+3,9,480,33,513,"October 5, 2020"
Age Suppressed,0,,,,"October 5, 2020"
Pending,0,1,0,1,"October 5, 2020"
0 – 17,2,778,0,778,"October 2, 2020"
18 – 29,9,2568,138,2706,"October 2, 2020"
30 – 49,8,2869,544,3413,"October 2, 2020"
50 – 69,4,1541,309,1850,"October 2, 2020"
70+3, ,468,33,501,"October 2, 2020"
Age Suppressed,0,,,,"October 2, 2020"
Pending,0,1,0,1,"October 2, 2020"
0 – 17,4,776,0,776,"October 1, 2020"
18 – 29,7,2559,138,2697,"October 1, 2020"
30 – 49,5,2861,544,3405,"October 1, 2020"
50 – 69,8,1537,309,1846,"October 1, 2020"
70+,2,465,33,498,"October 1, 2020"
Age Suppressed,0,,,,"October 1, 2020"
Pending,0,1,0,1,"October 1, 2020"
0 – 17,2,772,0,772,"September 30, 2020"
18 – 29,11,2552,138,2690,"September 30, 2020"
30 – 49,8,2856,544,3400,"September 30, 2020"
50 – 69,8,1529,309,1838,"September 30, 2020"
70+,5,463,33,496,"September 30, 2020"
Age Suppressed,0,,,,"September 30, 2020"
Pending,0,1,0,1,"September 30, 2020"
0 – 17,3,770,0,770,"September 29, 2020"
18 – 29,5,2541,138,2679,"September 29, 2020"
30 – 49,12,2848,544,3392,"September 29, 2020"
50 – 69,9,1522,309,1831,"September 29, 2020"
70+,3,458,33,491,"September 29, 2020"
Age Suppressed,0,,,,"September 29, 2020"
Pending,0,1,0,1,"September 29, 2020"
0 – 17,1,767,0,767,"September 28, 2020"
18 – 29,5,2537,138,2675,"September 28, 2020"
30 – 49,2,2836,544,3380,"September 28, 2020"
50 – 69,4,1513,309,1822,"September 28, 2020"
70+,18,455,33,488,"September 28, 2020"
Age Suppressed,0,,,,"September 28, 2020"
Pending,0,1,0,1,"September 28, 2020"
0 – 17,6,761,0,761,"September 25, 2020"
18 – 29,10,2502,138,2640,"September 25, 2020"
30 – 49,14,2813,544,3357,"September 25, 2020"
50 – 69,4,1500,309,1809,"September 25, 2020"
70+,1,436,33,469,"September 25, 2020"
Age Suppressed,0,,,,"September 25, 2020"
Pending,0,1,0,1,"September 25, 2020"
0 – 17,1,755,0,755,"September 24, 2020"
18 – 29,20,2493,138,2631,"September 24, 2020"
30 – 49,5,2799,544,3343,"September 24, 2020"
50 – 69,2,1496,309,1805,"September 24, 2020"
70+,1,435,33,468,"September 24, 2020"
Age Suppressed,0,,,,"September 24, 2020"
Pending,0,1,0,1,"September 24, 2020"
0 – 17,4,754,0,754,"September 23, 2020"
18 – 29,7,2473,138,2611,"September 23, 2020"
30 – 49,7,2793,544,3337,"September 23, 2020"
50 – 69,3,1494,309,1803,"September 23, 2020"
70+,1,434,33,467,"September 23, 2020"
Age Suppressed,0,,,,"September 23, 2020"
Pending,0,1,0,1,"September 23, 2020"
0 – 17,3,750,0,750,"September 22, 2020"
18 – 29,13,2466,138,2604,"September 22, 2020"
30 – 49,5,2786,544,3330,"September 22, 2020"
50 – 69,4,1492,309,1801,"September 22, 2020"
70+,0,433,33,466,"September 22, 2020"
Age Suppressed,0,,,,"September 22, 2020"
Pending,0,1,0,1,"September 22, 2020"
0 – 17,6,747,0,747,"September 21, 2020"
18 – 29,5,2454,138,2592,"September 21, 2020"
30 – 49,11,2782,544,3326,"September 21, 2020"
50 – 69,4,1489,309,1798,"September 21, 2020"
70+,3,433,33,466,"September 21, 2020"
Age Suppressed,0,,,,"September 21, 2020"
Pending,0,1,0,1,"September 21, 2020"
0 – 17,4,738,0,738,"September 18, 2020"
18 – 29,17,2427,138,2565,"September 18, 2020"
30 – 49,10,2752,544,3296,"September 18, 2020"
50 – 69,8,1475,311,1786,"September 18, 2020"
70+,2,427,33,460,"September 18, 2020"
Age Suppressed,2,,,,"September 18, 2020"
Pending,0,1,0,1,"September 18, 2020"
0 – 17,2,734,0,734,"September 17, 2020"
18 – 29,10,2401,138,2548,"September 17, 2020"
30 – 49,4,2742,544,3286,"September 17, 2020"
50 – 69,2,1467,309,1776,"September 17, 2020"
70+,1,425,33,458,"September 17, 2020"
Age Suppressed,0,,,,"September 17, 2020"
Pending,0,1,0,1,"September 17, 2020"
0 – 17,6,732,0,732,"September 16, 2020"
18 – 29,21,2401,138,2539,"September 16, 2020"
30 – 49,12,2738,544,3282,"September 16, 2020"
50 – 69,4,1465,309,1774,"September 16, 2020"
70+,1,424,33,457,"September 16, 2020"
Age Suppressed,0,,,,"September 16, 2020"
Pending,0,1,0,1,"September 16, 2020"
0 – 17,4,726,0,726,"September 15, 2020"
18 – 29,12,2380,138,2518,"September 15, 2020"
30 – 49,4,2726,544,3270,"September 15, 2020"
50 – 69,5,1461,309,1770,"September 15, 2020"
70+,1,423,33,456,"September 15, 2020"
Age Suppressed,0,,,,"September 15, 2020"
Pending,0,1,0,1,"September 15, 2020"
0 – 17,1,722,0,722,"September 14, 2020"
18 – 29,12,2369,138,2507,"September 14, 2020"
30 – 49,6,2723,544,3267,"September 14, 2020"
50 – 69,3,1457,309,1766,"September 14, 2020"
70+,1,422,33,455,"September 14, 2020"
Age Suppressed,0,,,,"September 14, 2020"
Pending,0,1,0,1,"September 14, 2020"
0 – 17,3,711,0,711,"September 11, 2020"
18 – 29,9,2328,138,2466,"September 11, 2020"
30 – 49,10,2688,544,3232,"September 11, 2020"
50 – 69,8,1437,309,1746,"September 11, 2020"
70+,0,419,33,452,"September 11, 2020"
Age Suppressed,0,,,,"September 11, 2020"
Pending,0,1,0,1,"September 11, 2020"
0 – 17,4,708,0,708,"September 10, 2020"
18 – 29,13,2320,138,2458,"September 10, 2020"
30 – 49,9,2678,544,3222,"September 10, 2020"
50 – 69,4,1429,309,1738,"September 10, 2020"
70+,0,419,33,452,"September 10, 2020"
Age Suppressed,0,,,,"September 10, 2020"
Pending,0,1,0,1,"September 10, 2020"
0 – 17,0,704,0,704,"September 9, 2020"
18 – 29,20,2307,138,2445,"September 9, 2020"
30 – 49,15,2669,544,3213,"September 9, 2020"
50 – 69,11,1426,309,1735,"September 9, 2020"
70+,4,419,33,452,"September 9, 2020"
Age Suppressed,1,,,,"September 9, 2020"
Pending,0,1,0,1,"September 9, 2020"
0 – 17,0,704,0,704,"September 8, 2020"
18 – 29,1,2287,138,2425,"September 8, 2020"
30 – 49,2,2654,543,3197,"September 8, 2020"
50 – 69,0,1415,309,1724,"September 8, 2020"
70+,0,415,33,448,"September 8, 2020"
Age Suppressed,0,,,,"September 8, 2020"
Pending,0,1,0,1,"September 8, 2020"
0 – 17,7,682,0,682,"September 4, 2020"
18 – 29,30,2235,138,2373,"September 4, 2020"
30 – 49,16,2622,543,3165,"September 4, 2020"
50 – 69,8,1389,309,1698,"September 4, 2020"
70+,3,409,33,442,"September 4, 2020"
Age Suppressed,0,,,,"September 4, 2020"
Pending,0,1,0,1,"September 4, 2020"
0 – 17,4,675,0,675,"September 3, 2020"
18 – 29,25,2208,138,2346,"September 3, 2020"
30 – 49,20,2606,543,3149,"September 3, 2020"
50 – 69,13,1381,309,1690,"September 3, 2020"
70+,8,406,33,439,"September 3, 2020"
Age Suppressed,0,,,,"September 3, 2020"
Pending,0,1,0,1,"September 3, 2020"
0 – 17,10,671,0,671,"September 2, 2020"
18 – 29,25,2183,138,2321,"September 2, 2020"
30 – 49,18,2586,542,3128,"September 2, 2020"
50 – 69,7,1368,309,1677,"September 2, 2020"
70+,6,398,33,431,"September 2, 2020"
Age Suppressed,0,,,,"September 2, 2020"
Pending,0,1,0,1,"September 2, 2020"
0 – 17,2,661,0,661,"September 1, 2020"
18 – 29,10,2159,138,2297,"September 1, 2020"
30 – 49,4,2568,542,3110,"September 1, 2020"
50 – 69,4,1361,309,1670,"September 1, 2020"
70+,0,392,33,425,"September 1, 2020"
Age Suppressed,0,,,,"September 1, 2020"
Pending,0,1,0,1,"September 1, 2020"
0 – 17,3,659,0,659,"August 31, 2020"
18 – 29,19,2149,136,2285,"August 31, 2020"
30 – 49,11,2565,541,3106,"August 31, 2020"
50 – 69,12,1357,309,1666,"August 31, 2020"
70+,1,393,33,426,"August 31, 2020"
Age Suppressed,0,,,,"August 31, 2020"
Pending,0,1,0,1,"August 31, 2020"
0 – 17,7,645,0,645,"August 28, 2020"
18 – 29,29,2105,136,2241,"August 28, 2020"
30 – 49,18,2524,541,3065,"August 28, 2020"
50 – 69,9,1330,309,1639,"August 28, 2020"
70+,4,390,33,423,"August 28, 2020"
Age Suppressed,0,,,,"August 28, 2020"
Pending,0,1,0,1,"August 28, 2020"
0 – 17,3,639,0,639,"August 27, 2020"
18 – 29,12,2077,136,2213,"August 27, 2020"
30 – 49,12,2506,541,3047,"August 27, 2020"
50 – 69,5,1321,309,1630,"August 27, 2020"
70+,3,388,33,421,"August 27, 2020"
Age Suppressed,0,,,,"August 27, 2020"
Pending,0,1,0,1,"August 27, 2020"
