Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,419,379,33,7,"December 21, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,39,2242,2006,221,15,"December 21, 2020"
CITY OF GOLETA,17,585,499,80,6,"December 21, 2020"
COMMUNITY OF ISLA VISTA,0,623,596,26,1,"December 21, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,8,431,369,59,3,"December 21, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,353,303,42,8,"December 21, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,38,1611,1455,145,11,"December 21, 2020"
FEDERAL PRISON IN LOMPOC,0,1038,1034,0,4,"December 21, 2020"
CITY OF SANTA MARIA,54,5671,5270,323,78,"December 21, 2020"
COMMUNITY OF ORCUTT,13,714,648,58,8,"December 21, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,623,581,35,7,"December 21, 2020"
Out of County,,,,,,"December 21, 2020"
Pending,14,625,538,87,0,"December 21, 2020"
Total** ,199,14935,13678,1109,148,"December 21, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",18,417,372,38,7,"December 20, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,51,2203,1969,219,15,"December 20, 2020"
CITY OF GOLETA,18,568,484,78,6,"December 20, 2020"
COMMUNITY OF ISLA VISTA,17,623,590,32,1,"December 20, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,21,423,366,54,3,"December 20, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",17,343,297,39,7,"December 20, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,30,1573,1433,129,11,"December 20, 2020"
FEDERAL PRISON IN LOMPOC,0,1038,1034,0,4,"December 20, 2020"
CITY OF SANTA MARIA,116,5619,5203,338,78,"December 20, 2020"
COMMUNITY OF ORCUTT,21,701,640,53,8,"December 20, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",12,619,574,38,7,"December 20, 2020"
Out of County,,,,,,"December 20, 2020"
Pending,29,611,524,87,0,"December 20, 2020"
Total** ,350,14738,13486,1105,147,"December 20, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,399,362,30,7,"December 19, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,2152,1932,205,15,"December 19, 2020"
CITY OF GOLETA,2,550,466,78,6,"December 19, 2020"
COMMUNITY OF ISLA VISTA,1,606,581,24,1,"December 19, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,402,362,37,3,"December 19, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,326,296,23,7,"December 19, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,1543,1415,117,11,"December 19, 2020"
FEDERAL PRISON IN LOMPOC,0,1038,1032,2,4,"December 19, 2020"
CITY OF SANTA MARIA,6,5505,5164,263,78,"December 19, 2020"
COMMUNITY OF ORCUTT,0,680,631,41,8,"December 19, 2020"
