Number of Cases by Gender,Daily,Community,Federal Prisonin Lompoc, Total  (Community & Prison),Date
Female,15,16290,2,16292,"March 28, 2021"
Male,16,15377,1073,16450,"March 28, 2021"
Unknown,0,322,13,335,"March 28, 2021"
Pending,0,,,,"March 28, 2021"
Female,15,16275,2,16277,"March 27, 2021"
Male,11,15361,1073,16434,"March 27, 2021"
Unknown,0,321,13,334,"March 27, 2021"
Pending,0,,,,"March 27, 2021"
Female,19,16260,2,16262,"March 26, 2021"
Male,22,15351,1073,16424,"March 26, 2021"
Unknown,0,321,13,334,"March 26, 2021"
Pending,0,,,,"March 26, 2021"
Female,24,16243,2,16245,"March 25, 2021"
Male,25,15330,1073,16403,"March 25, 2021"
Unknown,1,321,13,334,"March 25, 2021"
Pending,0,,,,"March 25, 2021"
Female,16,16220,2,16222,"March 24, 2021"
Male,22,15305,1073,16378,"March 24, 2021"
Unknown,0,320,13,333,"March 24, 2021"
Pending,0,,,,"March 24, 2021"
Female,12,16206,2,16208,"March 23, 2021"
Male,12,16356,1073,17429,"March 23, 2021"
Unknown,0,333,13,346,"March 23, 2021"
Pending,0,,,,"March 23, 2021"
Female,7,16193,2,16195,"March 22, 2021"
Male,7,15272,1073,16345,"March 22, 2021"
Unknown,0,320,13,333,"March 22, 2021"
Pending,0,,,,"March 22, 2021"
Female,9,16186,2,16188,"March 21, 2021"
Male,16,15265,1073,16338,"March 21, 2021"
Unknown,0,320,13,333,"March 21, 2021"
Pending,0,,,,"March 21, 2021"
Female,20,16177,2,16179,"March 20, 2021"
Male,18,15251,1073,16324,"March 20, 2021"
Unknown,0,320,13,333,"March 20, 2021"
Pending,0,,,,"March 20, 2021"
Female,21,16157,2,16159,"March 19, 2021"
Male,22,15233,1073,16306,"March 19, 2021"
Unknown,0,320,13,333,"March 19, 2021"
Pending,0,,,,"March 19, 2021"
Female,26,16136,2,16138,"March 18, 2021"
Male,25,15211,1073,16284,"March 18, 2021"
Unknown,1,320,13,333,"March 18, 2021"
Pending,0,,,,"March 18, 2021"
Female,11,16110,2,16112,"March 17, 2021"
Male,23,15186,1073,16259,"March 17, 2021"
Unknown,0,319,13,332,"March 17, 2021"
Pending,0,,,,"March 17, 2021"
Female,18,16099,2,16101,"March 16, 2021"
Male,17,15163,1073,16236,"March 16, 2021"
Unknown,0,319,13,332,"March 16, 2021"
Pending,0,,,,"March 16, 2021"
Female,6,16081,2,16083,"March 15, 2021"
Male,7,15146,1073,16219,"March 15, 2021"
Unknown,0,319,13,332,"March 15, 2021"
Pending,0,,,,"March 15, 2021"
Female,13,16075,2,16077,"March 14, 2021"
Male,13,15139,1073,16212,"March 14, 2021"
Unknown,0,319,13,332,"March 14, 2021"
Pending,0,,,,"March 14, 2021"
Female,11,16062,2,16064,"March 13, 2021"
Male,14,15114,1073,16187,"March 13, 2021"
Unknown,0,319,13,332,"March 13, 2021"
Pending,0,,,,"March 13, 2021"
Female,28,16052,2,16054,"March 12, 2021"
Male,26,15114,1073,16187,"March 12, 2021"
Unknown,0,319,13,332,"March 12, 2021"
Pending,0,,,,"March 12, 2021"
Female,28,16024,2,16026,"March 11, 2021"
Male,19,15088,1073,16161,"March 11, 2021"
Unknown,0,319,13,332,"March 11, 2021"
Pending,0,,,,"March 11, 2021"
Female,21,15997,2,15999,"March 10, 2021"
Male,20,15070,1073,16143,"March 10, 2021"
Unknown,0,319,13,332,"March 10, 2021"
Pending,0,,,,"March 10, 2021"
Female,16,15977,2,15979,"March 9, 2021"
Male,13,15052,1073,16125,"March 9, 2021"
Unknown,0,319,13,332,"March 9, 2021"
Pending,0,,,,"March 9, 2021"
Female,36,15964,2,15966,"March 8, 2021"
Male,37,15043,1073,16116,"March 8, 2021"
Unknown,0,319,13,332,"March 8, 2021"
Pending,0,,,,"March 8, 2021"
Female,19,15909,2,15911,"March 7, 2021"
Male,20,14985,1073,16058,"March 7, 2021"
Unknown,0,319,13,332,"March 7, 2021"
Pending,0,,,,"March 7, 2021"
Female,19,15909,2,15911,"March 6, 2021"
Male,20,14985,1073,16058,"March 6, 2021"
Unknown,0,319,13,332,"March 6, 2021"
Pending,0,,,,"March 6, 2021"
Female,28,15892,2,15894,"March 5, 2021"
Male,21,14968,1073,16041,"March 5, 2021"
Unknown,0,319,13,332,"March 5, 2021"
Pending,0,,,,"March 5, 2021"
Female,34,15865,2,15867,"March 4, 2021"
Male,39,14947,1073,16020,"March 4, 2021"
Unknown,0,319,13,332,"March 4, 2021"
Pending,0,,,,"March 4, 2021"
Female,28,15832,2,15834,"March 3, 2021"
Male,29,14908,1073,15981,"March 3, 2021"
Unknown,2,319,13,332,"March 3, 2021"
Pending,2,,,,"March 3, 2021"
Female,29,15804,2,15806,"March 2, 2021"
Male,10,14880,1071,15951,"March 2, 2021"
Unknown,1,317,13,330,"March 2, 2021"
Pending,0,,,,"March 2, 2021"
Female,19,15778,2,15780,"March 1, 2021"
Male,14,14870,1071,15941,"March 1, 2021"
Unknown,0,316,13,329,"March 1, 2021"
Pending,0,,,,"March 1, 2021"
Female,33,15759,2,15761,"February 28, 2021"
Male,37,14856,1071,15927,"February 28, 2021"
Unknown,0,316,13,329,"February 28, 2021"
Pending,0,,,,"February 28, 2021"
Female,42,15727,2,15729,"February 27, 2021"
Male,41,14822,1071,15893,"February 27, 2021"
Unknown,1,316,13,329,"February 27, 2021"
Pending,0,,,,"February 27, 2021"
Female,52,15685,2,15687,"February 26, 2021"
Male,52,14781,1071,15852,"February 26, 2021"
Unknown,0,315,13,328,"February 26, 2021"
Pending,0,,,,"February 26, 2021"
Female,26,15633,2,15635,"February 25, 2021"
Male,26,14729,1071,15800,"February 25, 2021"
Unknown,0,315,13,328,"February 25, 2021"
Pending,0,,,,"February 25, 2021"
Female,46,15607,2,15609,"February 24, 2021"
Male,39,14703,1071,15774,"February 24, 2021"
Unknown,0,315,13,328,"February 24, 2021"
Pending,0,,,,"February 24, 2021"
Female,26,15633.0,2.0,15635.0,"February 25, 2021"
Male,26,14729.0,1071.0,15800.0,"February 25, 2021"
Unknown,0,315.0,13.0,328.0,"February 25, 2021"
Pending,0,,,,"February 25, 2021"
Female,46,15607.0,2.0,15609.0,"February 24, 2021"
Male,39,14703.0,1071.0,15774.0,"February 24, 2021"
Unknown,0,315.0,13.0,328.0,"February 24, 2021"
Pending,0,,,,"February 24, 2021"
Female,23,15562.0,2.0,15564.0,"February 23, 2021"
Male,41,14667.0,1071.0,15738.0,"February 23, 2021"
Unknown,0,315.0,13.0,328.0,"February 23, 2021"
Pending,0,,,,"February 23, 2021"
Female,25,15539.0,2.0,15541.0,"February 22, 2021"
Male,4324,14627.0,1071.0,15698.0,"February 22, 2021"
Unknown,0,315.0,13.0,328.0,"February 22, 2021"
Pending,0,,,,"February 22, 2021"
Female,44,15554.0,2.0,15516.0,"February 21, 2021"
Male,43,14603.0,1071.0,15674.0,"February 21, 2021"
Unknown,0,315.0,13.0,328.0,"February 21, 2021"
Pending,0,,,,"February 21, 2021"
Female,48,15471.0,2.0,15473.0,"February 20, 2021"
Male,50,14560.0,1071.0,15631.0,"February 20, 2021"
Unknown,1,315.0,13.0,328.0,"February 20, 2021"
Pending,0,,,,"February 20, 2021"
Female,85,15424.0,2.0,15426.0,"February 19, 2021"
Male,68,14510.0,1071.0,15581.0,"February 19, 2021"
Unknown,1,314.0,13.0,327.0,"February 19, 2021"
Pending,0,,,,"February 19, 2021"
Female,61,15341.0,2.0,15343.0,"February 18, 2021"
Male,63,14445.0,1071.0,15516.0,"February 18, 2021"
Unknown,1,313.0,13.0,326.0,"February 18, 2021"
Pending,0,,,,"February 18, 2021"
Female,38,15281.0,2.0,15283.0,"February 17, 2021"
Male,39,14388.0,1071.0,15459.0,"February 17, 2021"
Unknown,1,312.0,13.0,325.0,"February 17, 2021"
Pending,0,,,,"February 17, 2021"
Female,24,15244.0,2.0,15246.0,"February 16, 2021"
Male,36,14350.0,1071.0,15421.0,"February 16, 2021"
Unknown,0,311.0,13.0,324.0,"February 16, 2021"
Pending,0,,,,"February 16, 2021"
Female,36,15220.0,2.0,15222.0,"February 15, 2021"
Male,34,14314.0,1071.0,15385.0,"February 15, 2021"
Unknown,0,311.0,13.0,324.0,"February 15, 2021"
Pending,0,,,,"February 15, 2021"
Female,76,15185.0,2.0,15187.0,"February 14, 2021"
Male,59,14280.0,1071.0,15351.0,"February 14, 2021"
Unknown,0,311.0,13.0,324.0,"February 14, 2021"
Pending,0,,,,"February 14, 2021"
Female,71,15110.0,2.0,15112.0,"February 13, 2021"
Male,76,14221.0,1071.0,15292.0,"February 13, 2021"
Unknown,0,311.0,13.0,324.0,"February 13, 2021"
Pending,0,,,,"February 13, 2021"
Female,47,15045.0,2.0,15047.0,"February 12, 2021"
Male,39,14150.0,1064.0,15214.0,"February 12, 2021"
Unknown,1,312.0,13.0,325.0,"February 12, 2021"
Pending,0,,,,"February 12, 2021"
Female,70,15000.0,2.0,15002.0,"February 11, 2021"
Male,83,14112.0,1064.0,15176.0,"February 11, 2021"
Unknown,0,311.0,13.0,324.0,"February 11, 2021"
Pending,0,,,,"February 11, 2021"
Female,70,14930.0,2.0,14932.0,"February 10, 2021"
Male,75,14032.0,1064.0,15096.0,"February 10, 2021"
Unknown,2,311.0,13.0,324.0,"February 10, 2021"
Pending,0,,,,"February 10, 2021"
Female,60,14860.0,2.0,14862.0,"February 9, 2021"
Male,63,13958.0,1064.0,15022.0,"February 9, 2021"
Unknown,1,309.0,13.0,322.0,"February 9, 2021"
Pending,0,,,,"February 9, 2021"
Female,64,14801.0,2.0,14803.0,"February 8, 2021"
Male,82,13899.0,1064.0,14963.0,"February 8, 2021"
Unknown,0,308.0,13.0,321.0,"February 8, 2021"
Pending,0,,,,"February 8, 2021"
Female,88,14737.0,2.0,14739.0,"February 7, 2021"
Male,96,13817.0,1064.0,14881.0,"February 7, 2021"
Unknown,3,308.0,13.0,321.0,"February 7, 2021"
Pending,0,,,,"February 7, 2021"
Female,99,14650.0,2.0,14652.0,"February 6, 2021"
Male,91,13721.0,1064.0,14785.0,"February 6, 2021"
Unknown,3,305.0,13.0,318.0,"February 6, 2021"
Pending,0,,,,"February 6, 2021"
Female,73,14552.0,2.0,14554.0,"February 5, 2021"
Male,59,13631.0,1064.0,14695.0,"February 5, 2021"
Unknown,4,302.0,13.0,315.0,"February 5, 2021"
Pending,0,,,,"February 5, 2021"
