Transmission Method,Total,Date
Community Close Contact Transmission,5362,"December 24, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 24, 2020"
Travel Transmission,127,"December 24, 2020"
Community Transmission,3553,"December 24, 2020"
Unknown,4901,"December 24, 2020"
Under Investigation,676,"December 24, 2020"
Community Close Contact Transmission,5291,"December 23, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 23, 2020"
Travel Transmission,126,"December 23, 2020"
Community Transmission,3519,"December 23, 2020"
Unknown,4789,"December 23, 2020"
Under Investigation,654,"December 23, 2020"
Community Close Contact Transmission,5192,"December 22, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 22, 2020"
Travel Transmission,126,"December 22, 2020"
Community Transmission,3455,"December 22, 2020"
Unknown,4710,"December 22, 2020"
Under Investigation,677,"December 22, 2020"
Community Close Contact Transmission,5162,"December 21, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 21, 2020"
Travel Transmission,126,"December 21, 2020"
Community Transmission,3433,"December 21, 2020"
Unknown,4503,"December 21, 2020"
Under Investigation,673,"December 21, 2020"
Community Close Contact Transmission,5132,"December 20, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 20, 2020"
Travel Transmission,126,"December 20, 2020"
Community Transmission,3399,"December 20, 2020"
Unknown,4410,"December 20, 2020"
Under Investigation,633,"December 20, 2020"
Community Close Contact Transmission,5074,"December 19, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 19, 2020"
Travel Transmission,126,"December 19, 2020"
Community Transmission,3354,"December 19, 2020"
Unknown,4270,"December 19, 2020"
Under Investigation,529,"December 19, 2020"
Community Close Contact Transmission,4993,"December 18, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 18, 2020"
Travel Transmission,126,"December 18, 2020"
Community Transmission,3282,"December 18, 2020"
Unknown,4217,"December 18, 2020"
Under Investigation,720,"December 18, 2020"
Community Close Contact Transmission,4900,"December 17, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 17, 2020"
Travel Transmission,125,"December 17, 2020"
Community Transmission,3225,"December 17, 2020"
Unknown,4142,"December 17, 2020"
Under Investigation,760,"December 17, 2020"
Community Close Contact Transmission,4792,"December 16, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 16, 2020"
Travel Transmission,124,"December 16, 2020"
Community Transmission,3171,"December 16, 2020"
Unknown,3996,"December 16, 2020"
Under Investigation,836,"December 16, 2020"
Community Close Contact Transmission,4727,"December 15, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 15, 2020"
Travel Transmission,124,"December 15, 2020"
Community Transmission,3113,"December 15, 2020"
Unknown,3928,"December 15, 2020"
Under Investigation,833,"December 15, 2020"
Community Close Contact Transmission,4697,"December 14, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1038,"December 14, 2020"
Travel Transmission,124,"December 14, 2020"
Community Transmission,3086,"December 14, 2020"
Unknown,3980,"December 14, 2020"
Under Investigation,632,"December 14, 2020"
Community Close Contact Transmission,4683,"December 13, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1031,"December 13, 2020"
Travel Transmission,124,"December 13, 2020"
Community Transmission,3075,"December 13, 2020"
Unknown,3764,"December 13, 2020"
Under Investigation,521,"December 13, 2020"
Community Close Contact Transmission,4596,"December 12, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1031,"December 12, 2020"
Travel Transmission,124,"December 12, 2020"
Community Transmission,3036,"December 12, 2020"
Unknown,3691,"December 12, 2020"
Under Investigation,578,"December 12, 2020"
Community Close Contact Transmission,4532,"December 11, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1031,"December 11, 2020"
Travel Transmission,124,"December 11, 2020"
Community Transmission,3007,"December 11, 2020"
Unknown,3644,"December 11, 2020"
Under Investigation,528,"December 11, 2020"
Community Close Contact Transmission,4532,"December 11, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1031,"December 11, 2020"
Travel Transmission,124,"December 11, 2020"
Community Transmission,3007,"December 11, 2020"
Unknown,3644,"December 11, 2020"
Under Investigation,528,"December 11, 2020"
Community Close Contact Transmission,4481,"December 10, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1031,"December 10, 2020"
Travel Transmission,119,"December 10, 2020"
Community Transmission,2967,"December 10, 2020"
Unknown,3634,"December 10, 2020"
Under Investigation,576,"December 10, 2020"
Community Close Contact Transmission,4407,"December 9, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1031,"December 9, 2020"
Travel Transmission,117,"December 9, 2020"
Community Transmission,2902,"December 9, 2020"
Unknown,3551,"December 9, 2020"
Under Investigation,628,"December 9, 2020"
Community Close Contact Transmission,4407,"December 9, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1031,"December 9, 2020"
Travel Transmission,117,"December 9, 2020"
Community Transmission,2902,"December 9, 2020"
Unknown,3551,"December 9, 2020"
Under Investigation,628,"December 9, 2020"
Community Close Contact Transmission,4368,"December 8, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1029,"December 8, 2020"
Travel Transmission,117,"December 8, 2020"
Community Transmission,2877,"December 8, 2020"
Unknown,3516,"December 8, 2020"
Under Investigation,595,"December 8, 2020"
Community Close Contact Transmission,4341,"December 7, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1029,"December 7, 2020"
Travel Transmission,112,"December 7, 2020"
Community Transmission,2859,"December 7, 2020"
Unknown,3537,"December 7, 2020"
Under Investigation,501,"December 7, 2020"
Community Close Contact Transmission,4183,"December 4, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"December 4, 2020"
Travel Transmission,110,"December 4, 2020"
Community Transmission,2764,"December 4, 2020"
Unknown,3418,"December 4, 2020"
Under Investigation,415,"December 4, 2020"
Community Close Contact Transmission,4171,"December 3, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"December 3, 2020"
Travel Transmission,109,"December 3, 2020"
Community Transmission,2755,"December 3, 2020"
Unknown,3429,"December 3, 2020"
Under Investigation,354,"December 3, 2020"
Community Close Contact Transmission,4122,"December 2, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"December 2, 2020"
Travel Transmission,107,"December 2, 2020"
Community Transmission,2707,"December 2, 2020"
Unknown,3381,"December 2, 2020"
Under Investigation,376,"December 2, 2020"
Community Close Contact Transmission,4088,"December 1, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"December 1, 2020"
Travel Transmission,106,"December 1, 2020"
Community Transmission,2661,"December 1, 2020"
Unknown,3368,"December 1, 2020"
Under Investigation,381,"December 1, 2020"
Community Close Contact Transmission,4066,"November 30, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"November 30, 2020"
Travel Transmission,105,"November 30, 2020"
Community Transmission,2642,"November 30, 2020"
Unknown,3370,"November 30, 2020"
Under Investigation,392,"November 30, 2020"
Community Close Contact Transmission,3954,"November 25, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"November 25, 2020"
Travel Transmission,103,"November 25, 2020"
Community Transmission,2555,"November 25, 2020"
Unknown,3277,"November 25, 2020"
Under Investigation,289,"November 25, 2020"
Community Close Contact Transmission,3927,"November 24, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"November 24, 2020"
Travel Transmission,12,"November 24, 2020"
Community Transmission,2594,"November 24, 2020"
Unknown,3299,"November 24, 2020"
Under Investigation,307,"November 24, 2020"
Community Close Contact Transmission,3889,"November 23, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"November 23, 2020"
Travel Transmission,12,"November 23, 2020"
Community Transmission,2572,"November 23, 2020"
Unknown,3389,"November 23, 2020"
Under Investigation,178,"November 23, 2020"
Community Close Contact Transmission,3868,"November 22, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"November 22, 2020"
Travel Transmission,12,"November 22, 2020"
Community Transmission,2555,"November 22, 2020"
Unknown,3313,"November 22, 2020"
Under Investigation,238,"November 22, 2020"
Community Close Contact Transmission,3852,"November 21, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"November 21, 2020"
Travel Transmission,12,"November 21, 2020"
Community Transmission,2545,"November 21, 2020"
Unknown,3247,"November 21, 2020"
Under Investigation,251,"November 21, 2020"
Community Close Contact Transmission,3823,"November 20, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1027,"November 20, 2020"
Travel Transmission,12,"November 20, 2020"
Community Transmission,2522,"November 20, 2020"
Unknown,3239,"November 20, 2020"
Under Investigation,216,"November 20, 2020"
Community Close Contact Transmission,3785,"November 19, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 19, 2020"
Travel Transmission,12,"November 19, 2020"
Community Transmission,2488,"November 19, 2020"
Unknown,3200,"November 19, 2020"
Under Investigation,257,"November 19, 2020"
Community Close Contact Transmission,3763,"November 18, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 18, 2020"
Travel Transmission,12,"November 18, 2020"
Community Transmission,2460,"November 18, 2020"
Unknown,3188,"November 18, 2020"
Under Investigation,253,"November 18, 2020"
Community Close Contact Transmission,3725,"November 17, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 17, 2020"
Travel Transmission,12,"November 17, 2020"
Community Transmission,2436,"November 17, 2020"
Unknown,3176,"November 17, 2020"
Under Investigation,237,"November 17, 2020"
Community Close Contact Transmission,3694,"November 16, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 16, 2020"
Travel Transmission,12,"November 16, 2020"
Community Transmission,2426,"November 16, 2020"
Unknown,3169,"November 16, 2020"
Under Investigation,250,"November 16, 2020"
Community Close Contact Transmission,3622,"November 13, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 13, 2020"
Travel Transmission,12,"November 13, 2020"
Community Transmission,2392,"November 13, 2020"
Unknown,3150,"November 13, 2020"
Under Investigation,213,"November 13, 2020"
Community Close Contact Transmission,3614,"November 12, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 12, 2020"
Travel Transmission,12,"November 12, 2020"
Community Transmission,2386,"November 12, 2020"
Unknown,3138,"November 12, 2020"
Under Investigation,163,"November 12, 2020"
Community Close Contact Transmission,3569,"November 10, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 10, 2020"
Travel Transmission,12,"November 10, 2020"
Community Transmission,2360,"November 10, 2020"
Unknown,3134,"November 10, 2020"
Under Investigation,159,"November 10, 2020"
Community Close Contact Transmission,3556,"November 9, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 9, 2020"
Travel Transmission,12,"November 9, 2020"
Community Transmission,2353,"November 9, 2020"
Unknown,3134,"November 9, 2020"
Under Investigation,149,"November 9, 2020"
Community Close Contact Transmission,3511,"November 6, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 6, 2020"
Travel Transmission,12,"November 6, 2020"
Community Transmission,2322,"November 6, 2020"
Unknown,3094,"November 6, 2020"
Under Investigation,163,"November 6, 2020"
Community Close Contact Transmission,3500,"November 5, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 5, 2020"
Travel Transmission,12,"November 5, 2020"
Community Transmission,2303,"November 5, 2020"
Unknown,3089,"November 5, 2020"
Under Investigation,159,"November 5, 2020"
Community Close Contact Transmission,3493,"November 4, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 4, 2020"
Travel Transmission,12,"November 4, 2020"
Community Transmission,2293,"November 4, 2020"
Unknown,3088,"November 4, 2020"
Under Investigation,130,"November 4, 2020"
Community Close Contact Transmission,3485,"November 3, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 3, 2020"
Travel Transmission,12,"November 3, 2020"
Community Transmission,2284,"November 3, 2020"
Unknown,3080,"November 3, 2020"
Under Investigation,129,"November 3, 2020"
Community Close Contact Transmission,3484,"November 2, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"November 2, 2020"
Travel Transmission,12,"November 2, 2020"
Community Transmission,2280,"November 2, 2020"
Unknown,3073,"November 2, 2020"
Under Investigation,117,"November 2, 2020"
Community Close Contact Transmission,3456,"October 30, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"October 30, 2020"
Travel Transmission,12,"October 30, 2020"
Community Transmission,2259,"October 30, 2020"
Unknown,3046,"October 30, 2020"
Under Investigation,145,"October 30, 2020"
Community Close Contact Transmission,3452,"October 29, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"October 29, 2020"
Travel Transmission,12,"October 29, 2020"
Community Transmission,2257,"October 29, 2020"
Unknown,3045,"October 29, 2020"
Under Investigation,127,"October 29, 2020"
Community Close Contact Transmission,3443,"October 28, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"October 28, 2020"
Travel Transmission,12,"October 28, 2020"
Community Transmission,2246,"October 28, 2020"
Unknown,3038,"October 28, 2020"
Under Investigation,121,"October 28, 2020"
Community Close Contact Transmission,3442,"October 27, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"October 27, 2020"
Travel Transmission,12,"October 27, 2020"
Community Transmission,2246,"October 27, 2020"
Unknown,3034,"October 27, 2020"
Under Investigation,103,"October 27, 2020"
Community Close Contact Transmission,3426,"October 26, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"October 26, 2020"
Travel Transmission,12,"October 26, 2020"
Community Transmission,2238,"October 26, 2020"
Unknown,3007,"October 26, 2020"
Under Investigation,111,"October 26, 2020"
Community Close Contact Transmission,3398,"October 23, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1026,"October 23, 2020"
Travel Transmission,12,"October 23, 2020"
Community Transmission,2216,"October 23, 2020"
Unknown,3000,"October 23, 2020"
Under Investigation,108,"October 23, 2020"
